instance,shape,size,name,dtype
Group,,,/AwakeEventData,
Group,,,/AwakeEventData/AIRTR01,
Group,,,/AwakeEventData/AIRTR01/Acq,
Dataset,"(1,)",1,/AwakeEventData/AIRTR01/Acq/numericPosition,float32
Group,,,/AwakeEventData/AIRTR02,
Group,,,/AwakeEventData/AIRTR02/Acq,
Dataset,"(1,)",1,/AwakeEventData/AIRTR02/Acq/numericPosition,float32
Group,,,/AwakeEventData/AWAKEInjPhaseShifter,
Group,,,/AwakeEventData/AWAKEInjPhaseShifter/PhaseReadback,
Dataset,"(1,)",1,/AwakeEventData/AWAKEInjPhaseShifter/PhaseReadback/phaseACurrentValue,float32
Group,,,/AwakeEventData/BLMITT41,
Group,,,/AwakeEventData/BLMITT41/Acquisition,
Dataset,"(1,)",1,/AwakeEventData/BLMITT41/Acquisition/acqDesc,|S1
Dataset,"(1,)",1,/AwakeEventData/BLMITT41/Acquisition/acqMsg,|S1
Dataset,"(1,)",1,/AwakeEventData/BLMITT41/Acquisition/acqState,int32
Dataset,"(1,)",1,/AwakeEventData/BLMITT41/Acquisition/acqTime,int32
Dataset,"(40,)",40,/AwakeEventData/BLMITT41/Acquisition/alarmStatus,int16
Dataset,"(40,)",40,/AwakeEventData/BLMITT41/Acquisition/blrSignalStatus,int16
Dataset,"(40,)",40,/AwakeEventData/BLMITT41/Acquisition/calLosses,float32
Dataset,"(1,)",1,/AwakeEventData/BLMITT41/Acquisition/calLosses_unit,|S4
Dataset,"(1,)",1,/AwakeEventData/BLMITT41/Acquisition/calLosses_unitExponent,int32
Dataset,"(40,)",40,/AwakeEventData/BLMITT41/Acquisition/calThresholds,float32
Dataset,"(15,)",15,/AwakeEventData/BLMITT41/Acquisition/channelNames,|S15
Dataset,"(1,)",1,/AwakeEventData/BLMITT41/Acquisition/deviceName,|S5
Dataset,"(2,)",2,/AwakeEventData/BLMITT41/Acquisition/enableExtFlagBIC,int32
Dataset,"(1,)",1,/AwakeEventData/BLMITT41/Acquisition/measStamp,int32
Dataset,"(1,)",1,/AwakeEventData/BLMITT41/Acquisition/nbOfChannels,int32
Dataset,"(1,)",1,/AwakeEventData/BLMITT41/Acquisition/nbOfMeas,int32
Dataset,"(40,)",40,/AwakeEventData/BLMITT41/Acquisition/normLosses,float32
Dataset,"(1,)",1,/AwakeEventData/BLMITT41/Acquisition/observables,int32
Dataset,"(40,)",40,/AwakeEventData/BLMITT41/Acquisition/rawLosses,int16
Dataset,"(1,)",1,/AwakeEventData/BLMITT41/Acquisition/superCycleNb,int32
Dataset,"(5,)",5,/AwakeEventData/BLMITT41/Acquisition/totalGains,int32
Group,,,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01,
Group,,,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/beamIntensity,float64
